RowNumber,CustomerId,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Surname,Geography,Gender,CreditScore_norm,EstimatedSalary_norm,Balance_norm,Credit_per_age,isOutlier
4988.5,15634602.0,619.0,42.0,2.0,0.0,1.0,1.0,1.0,101348.88,1.0,Hargrave,France,Female,0.5379999999999999,0.5065412167867311,0.0,14.738095238095237,1
2.0,15647311.0,608.0,41.0,1.0,83807.86,1.0,0.0,1.0,112542.58,0.0,Hill,Spain,Female,0.5159999999999999,0.562537039948643,0.334031478677259,14.829268292682928,1
3.0,15619304.0,502.0,42.0,8.0,159660.8,3.0,1.0,0.0,100272.16500000001,1.0,Onio,France,Female,0.30399999999999994,0.5011550135888807,0.6363571759354565,11.952380952380953,1
4988.5,15701354.0,699.0,39.0,1.0,0.0,2.0,1.0,0.0,93826.63,0.0,Boni,France,Male,0.6980000000000001,0.4689116054178637,0.0,17.923076923076923,1
5.0,15737888.0,850.0,43.0,2.0,125510.82,1.0,1.0,1.0,100272.16500000001,0.0,Mitchell,Spain,Female,0.9999999999999999,0.5011550135888807,0.5002462155052676,19.767441860465116,1
6.0,15574012.0,645.0,44.0,8.0,113755.78,2.0,1.0,0.0,149756.71,0.0,Chu,France,Male,0.59,0.7486985274464675,0.45339436422174445,14.659090909090908,1
7.0,15592531.0,822.0,50.0,7.0,0.0,2.0,1.0,1.0,10062.8,0.0,Bartlett,France,Male,0.9440000000000001,0.04988799284610926,0.0,16.44,1
8.0,15656148.0,376.0,29.0,4.0,115046.74,4.0,1.0,0.0,119346.88,1.0,Obinna,Germany,Female,0.051999999999999935,0.5965751488438784,0.4585397202505608,12.96551724137931,1
9.0,15792365.0,501.0,44.0,4.0,142051.07,2.0,1.0,1.0,74940.5,0.0,He,France,Male,0.30199999999999994,0.37443485548773525,0.5661703921301275,11.386363636363637,1
10.0,15592389.0,684.0,27.0,2.0,134603.88,1.0,1.0,1.0,71725.73,0.0,H?,France,Male,0.668,0.35835315842365284,0.5364882610306042,25.333333333333332,1
11.0,15767821.0,528.0,31.0,5.0,102016.72,1.0,1.0,0.0,80181.12,0.0,Bearce,France,Male,0.356,0.4006507475322584,0.4066062041365082,17.032258064516128,1
12.0,15737173.0,652.0,24.0,3.0,0.0,2.0,1.0,0.0,100272.16500000001,0.0,Andrews,Spain,Male,0.604,0.5011550135888807,0.0,27.166666666666668,1
13.0,15690533.0,476.0,34.0,10.0,0.0,2.0,1.0,0.0,26260.98,0.0,Kay,France,Female,0.252,0.130918431648723,0.0,14.0,1
14.0,15691483.0,652.0,25.0,5.0,0.0,1.0,0.0,1.0,190857.79,0.0,Chin,France,Female,0.604,0.9543042527601344,0.0,26.08,1
15.0,15600882.0,635.0,37.0,7.0,0.0,2.0,1.0,1.0,65951.65,0.0,Scott,Spain,Female,0.57,0.3294686642347133,0.0,17.16216216216216,1
16.0,15643966.0,616.0,37.0,3.0,143129.41,2.0,0.0,1.0,64327.26,0.0,Goforth,Germany,Male,0.5319999999999999,0.3213427491944695,0.5704683124530762,16.64864864864865,1
17.0,15737452.0,653.0,58.0,5.0,132602.88,1.0,1.0,0.0,5097.67,1.0,Romeo,Germany,Male,0.606,0.02505022325643798,0.5285129113577549,11.258620689655173,1
18.0,15788218.0,549.0,24.0,9.0,0.0,2.0,1.0,1.0,14406.41,0.0,Henderson,Spain,Female,0.398,0.07161664534209468,0.0,22.875,1
19.0,15661507.0,587.0,45.0,5.0,0.0,1.0,0.0,0.0,158684.81,0.0,Muldrow,Spain,Male,0.47399999999999987,0.7933608204123203,0.0,13.044444444444444,1
20.0,15568982.0,652.0,24.0,6.0,0.0,2.0,1.0,1.0,54724.03,0.0,Hao,France,Female,0.604,0.2733031582760808,0.0,27.166666666666668,1
21.0,15577657.0,732.0,37.0,8.0,97221.52,2.0,1.0,1.0,170886.17,0.0,McDonald,France,Male,0.7639999999999999,0.8543974032128978,0.3874940618320371,19.783783783783782,1
22.0,15597945.0,636.0,32.0,8.0,0.0,1.0,1.0,0.0,100272.16500000001,0.0,Smith,Spain,Male,0.572,0.5011550135888807,0.0,19.875,1
23.0,15699309.0,510.0,38.0,4.0,97221.52,1.0,1.0,0.0,118913.53,1.0,Smith,Spain,Female,0.31999999999999995,0.5944073410620713,0.3874940618320371,13.421052631578947,1
24.0,15725737.0,669.0,46.0,3.0,97221.52,2.0,0.0,1.0,8487.75,0.0,Mosman,France,Male,0.638,0.04200889824189713,0.3874940618320371,14.543478260869565,1
25.0,15625047.0,846.0,38.0,5.0,0.0,1.0,1.0,1.0,100272.16500000001,0.0,Yen,France,Female,0.9919999999999999,0.5011550135888807,0.0,22.263157894736842,1
